iter	Passed	Remaining
422	2318	3162
423	2322	3154
424	2328	3150
425	2331	3141
426	2333	3131
427	2336	3122
428	2338	3112
429	2340	3102
430	2343	3093
431	2346	3085
432	2352	3080
433	2354	3070
434	2357	3061
435	2359	3052
436	2366	3049
437	2369	3040
438	2373	3033
439	2379	3028
440	2383	3021
441	2387	3013
442	2389	3004
443	2391	2994
444	2394	2986
445	2399	2980
446	2401	2970
447	2403	2961
448	2405	2952
449	2408	2943
450	2411	2935
451	2413	2926
452	2417	2918
453	2419	2909
454	2422	2901
455	2424	2892
456	2426	2883
457	2430	2876
458	2433	2868
459	2437	2860
460	2440	2853
461	2442	2844
462	2444	2835
463	2447	2826
464	2449	2817
465	2451	2809
466	2453	2800
467	2456	2792
468	2459	2784
469	2464	2778
470	2470	2775
471	2474	2768
472	2477	2760
473	2480	2752
474	2483	2745
475	2486	2736
476	2488	2728
477	2490	2720
478	2492	2711
479	2495	2702
480	2497	2695
481	2500	2687
482	2503	2679
483	2505	2671
484	2508	2663
485	2510	2655
486	2515	2649
487	2519	2643
488	2521	2635
489	2524	2627
490	2526	2619
491	2528	2610
492	2529	2601
493	2534	2596
494	2536	2588
495	2538	2579
496	2540	2571
497	2545	2566
498	2550	2560
499	2553	2553
500	2555	2545
501	2560	2540
502	2564	2533
503	2566	2526
504	2569	2518
505	2573	2512
506	2575	2504
507	2577	2496
508	2580	2489
509	2583	2482
510	2585	2474
511	2588	2466
512	2592	2460
513	2596	2455
514	2598	2447
515	2601	2440
516	2603	2432
517	2606	2425
518	2608	2417
519	2611	2410
520	2616	2405
521	2622	2401
522	2627	2395
523	2629	2388
524	2632	2382
525	2635	2374
526	2637	2367
527	2639	2359
528	2641	2351
529	2644	2345
530	2647	2338
531	2655	2335
532	2658	2329
533	2663	2324
534	2667	2318
535	2670	2311
536	2672	2304
537	2674	2296
538	2676	2289
539	2679	2282
540	2682	2276
541	2688	2271
542	2692	2266
543	2696	2259
544	2698	2253
545	2701	2246
546	2704	2239
547	2711	2236
548	2715	2230
549	2718	2224
550	2721	2217
551	2723	2210
552	2725	2203
553	2728	2196
554	2733	2191
555	2738	2186
556	2741	2180
557	2745	2174
558	2751	2170
559	2754	2164
560	2756	2157
561	2759	2150
562	2761	2143
563	2764	2136
564	2767	2130
565	2770	2124
566	2772	2117
567	2775	2110
568	2778	2104
569	2780	2097
570	2783	2091
571	2786	2085
572	2789	2078
573	2791	2071
574	2795	2066
575	2798	2060
576	2800	2053
577	2803	2046
578	2806	2040
579	2809	2034
580	2812	2028
581	2815	2021
582	2817	2015
583	2820	2009
584	2822	2002
585	2825	1995
586	2827	1989
587	2831	1983
588	2833	1977
589	2835	1970
590	2838	1964
591	2841	1958
592	2843	1951
593	2846	1945
594	2852	1941
595	2858	1937
596	2860	1930
597	2864	1925
598	2866	1919
599	2868	1912
600	2871	1906
601	2874	1900
602	2879	1896
603	2882	1889
604	2884	1883
605	2887	1877
606	2890	1871
607	2895	1866
608	2899	1861
609	2903	1856
610	2905	1849
611	2908	1843
612	2910	1837
613	2912	1830
614	2915	1825
615	2919	1819
616	2924	1815
617	2928	1809
618	2930	1803
619	2933	1798
620	2938	1793
621	2942	1788
622	2945	1782
623	2955	1780
624	2961	1777
625	2966	1772
626	2975	1770
627	2979	1764
628	2980	1757
629	2984	1752
630	2989	1748
631	2992	1742
632	2995	1736
633	2997	1730
634	3000	1724
635	3003	1719
636	3006	1713
637	3009	1707
638	3012	1701
639	3014	1695
640	3017	1689
641	3020	1684
642	3022	1678
643	3025	1672
644	3027	1666
645	3030	1660
646	3032	1654
647	3034	1648
648	3037	1642
649	3039	1636
650	3041	1630
651	3045	1625
652	3047	1619
653	3050	1613
654	3052	1607
655	3056	1602
656	3060	1597
657	3064	1592
658	3068	1587
659	3070	1581
660	3075	1577
661	3079	1572
662	3081	1566
663	3085	1561
664	3088	1555
665	3090	1550
666	3092	1544
667	3095	1538
668	3098	1532
669	3104	1529
670	3108	1524
671	3111	1518
672	3113	1512
673	3116	1507
674	3118	1501
675	3121	1496
676	3124	1490
677	3126	1484
678	3129	1479
679	3132	1473
680	3135	1468
681	3137	1463
682	3140	1457
683	3143	1452
684	3147	1447
685	3150	1442
686	3153	1436
687	3156	1431
688	3160	1426
689	3165	1422
690	3170	1417
691	3173	1412
692	3176	1407
693	3178	1401
694	3180	1395
695	3183	1390
696	3186	1385
697	3188	1379
698	3191	1374
699	3194	1368
700	3197	1363
701	3200	1358
702	3202	1353
703	3205	1347
704	3207	1342
705	3210	1336
706	3213	1331
707	3215	1326
708	3218	1320
709	3220	1315
710	3222	1309
711	3225	1304
712	3229	1299
713	3231	1294
714	3234	1289
715	3237	1284
716	3239	1278
717	3242	1273
718	3244	1267
719	3245	1262
720	3248	1256
721	3250	1251
722	3253	1246
723	3256	1241
724	3258	1235
725	3260	1230
726	3262	1225
727	3265	1219
728	3267	1214
729	3269	1209
730	3271	1204
731	3275	1199
732	3278	1194
733	3281	1189
734	3284	1184
735	3287	1179
736	3291	1174
737	3294	1169
738	3296	1164
739	3298	1159
740	3301	1153
741	3303	1148
742	3306	1143
743	3309	1138
744	3312	1133
745	3316	1129
746	3317	1123
747	3320	1118
748	3324	1114
749	3327	1109
750	3329	1104
751	3332	1099
752	3338	1095
753	3340	1089
754	3344	1085
755	3347	1080
756	3349	1075
757	3351	1069
758	3354	1065
759	3357	1060
760	3360	1055
761	3363	1050
762	3368	1046
763	3375	1042
764	3378	1037
765	3380	1032
766	3383	1027
767	3386	1023
768	3388	1017
769	3391	1013
770	3394	1008
771	3396	1003
772	3399	998
773	3402	993
774	3405	988
775	3410	984
776	3412	979
777	3415	974
778	3417	969
779	3421	964
780	3424	960
781	3426	955
782	3429	950
783	3432	945
784	3436	941
785	3439	936
786	3442	931
787	3444	926
788	3447	921
789	3449	916
790	3451	911
791	3454	907
792	3456	902
793	3458	897
794	3461	892
795	3464	887
796	3466	882
797	3468	877
798	3470	872
799	3472	868
800	3475	863
801	3477	858
802	3479	853
803	3481	848
804	3483	843
805	3487	839
806	3489	834
807	3492	829
808	3494	825
809	3497	820
810	3500	815
811	3506	811
812	3510	807
813	3515	803
814	3520	799
815	3523	794
816	3532	791
817	3535	786
818	3539	782
819	3541	777
820	3544	772
821	3550	768
822	3553	764
823	3556	759
824	3566	756
825	3568	751
826	3571	747
827	3577	743
828	3586	739
829	3589	735
830	3592	730
831	3599	726
832	3603	722
833	3606	717
834	3613	713
835	3615	709
836	3618	704
837	3622	700
838	3624	695
839	3628	691
840	3631	686
841	3634	681
842	3637	677
843	3639	672
844	3645	668
845	3647	664
846	3650	659
847	3655	655
848	3656	650
849	3659	645
850	3663	641
851	3666	636
852	3671	632
853	3680	629
854	3684	624
855	3686	620
856	3690	615
857	3694	611
858	3697	606
859	3699	602
860	3701	597
861	3705	593
862	3710	589
863	3713	584
864	3716	579
865	3718	575
866	3720	570
867	3725	566
868	3728	562
869	3731	557
870	3733	552
871	3737	548
872	3742	544
873	3745	539
874	3748	535
875	3751	531
876	3755	526
877	3759	522
878	3762	517
879	3765	513
880	3769	509
881	3771	504
882	3774	500
883	3776	495
884	3778	491
885	3780	486
886	3782	481
887	3787	477
888	3792	473
889	3796	469
890	3798	464
891	3800	460
892	3802	455
893	3805	451
894	3807	446
895	3809	442
896	3811	437
897	3814	433
898	3816	428
899	3819	424
900	3821	419
901	3823	415
902	3826	411
903	3828	406
904	3830	402
905	3833	397
906	3835	393
907	3837	388
908	3839	384
909	3841	379
910	3844	375
911	3846	371
912	3848	366
913	3851	362
914	3853	357
915	3855	353
916	3857	349
917	3859	344
918	3861	340
919	3863	335
920	3865	331
921	3867	327
922	3870	322
923	3872	318
924	3874	314
925	3876	309
926	3879	305
927	3888	301
928	3891	297
929	3901	293
930	3906	289
931	3915	285
932	3919	281
933	3931	277
934	3935	273
935	3938	269
936	3941	264
937	3944	260
938	3954	256
939	3966	253
940	3969	248
941	3972	244
942	3974	240
943	3976	235
944	3978	231
945	3980	227
946	3982	222
947	3984	218
948	3987	214
949	3989	209
950	3991	205
951	3993	201
952	3996	197
953	3999	192
954	4001	188
955	4006	184
956	4013	180
957	4017	176
958	4019	171
959	4021	167
960	4024	163
961	4026	159
962	4028	154
963	4031	150
964	4034	146
965	4036	142
966	4038	137
967	4049	133
968	4060	129
969	4064	125
970	4068	121
971	4083	117
972	4087	113
973	4089	109
974	4095	105
975	4097	100
976	4100	96
977	4102	92
978	4105	88
979	4107	83
980	4109	79
981	4112	75
982	4115	71
983	4117	66
984	4119	62
985	4122	58
986	4124	54
987	4127	50
988	4129	45
989	4132	41
990	4134	37
991	4136	33
992	4139	29
993	4141	25
994	4144	20
995	4146	16
996	4148	12
997	4150	8
998	4153	4
999	4155	0
	3
999	3890	0
